((('1.2.8.9',), {}), True)
((('1.2.8.10',), {}), True)
((('1.2.8.11',), {}), True)
((('1.2.8.12',), {}), True)
((('1.2.8.13',), {}), True)
((('1.2.8.14',), {}), True)
((('1.2.8.15',), {}), True)
((('1.2.8.16',), {}), True)
((('1.2.1.4',), {}), True)
((('1.2.8.18',), {}), True)
((('1.2.8.17',), {}), True)
((('1.2.8.19',), {}), True)
((('1.2.8.20',), {}), True)
((('1.2.8.21',), {}), True)
((('1.2.8.22',), {}), True)
((('1.2.8.23',), {}), True)
((('1.2.8.24',), {}), True)
((('1.2.8.25',), {}), True)
((('1.2.8.26',), {}), True)
((('1.2.8.27',), {}), True)
((('1.2.8.28',), {}), True)
((('1.2.8.29',), {}), True)
((('1.2.8.30',), {}), True)
((('1.2.8.31',), {}), True)
((('1.2.8.32',), {}), True)
((('1.2.8.33',), {}), True)
((('1.2.9.1',), {}), True)
((('1.2.9.2',), {}), True)
((('1.2.9.3',), {}), True)
((('1.2.9.4',), {}), True)
((('1.2.9.5',), {}), True)
((('1.2.9.6',), {}), True)
((('1.2.9.7',), {}), True)
((('1.2.9.8',), {}), True)
((('1.2.9.9',), {}), True)
((('1.2.9.11',), {}), True)
((('1.2.9.10',), {}), True)
((('1.2.9.13',), {}), True)
((('1.2.9.12',), {}), True)
((('1.2.9.14',), {}), True)
((('1.2.9.15',), {}), True)
((('1.2.9.16',), {}), True)
((('1.2.9.17',), {}), True)
((('1.2.9.19',), {}), True)
((('1.2.9.18',), {}), True)
((('1.2.9.20',), {}), True)
((('1.2.9.21',), {}), True)
((('1.2.9.22',), {}), True)
((('1.2.9.23',), {}), True)
((('1.2.9.24',), {}), True)
((('1.2.10.1',), {}), True)
((('1.2.10.2',), {}), True)
((('1.2.10.3',), {}), True)
((('1.2.10.4',), {}), True)
((('1.2.10.5',), {}), True)
((('1.2.10.6',), {}), True)
((('1.2.10.7',), {}), True)
((('1.2.10.8',), {}), True)
((('1.2.10.9',), {}), True)
((('1.2.10.10',), {}), True)
((('1.2.10.12',), {}), True)
((('1.2.10.11',), {}), True)
((('1.2.10.13',), {}), True)
((('1.2.10.14',), {}), True)
((('1.2.11.1',), {}), True)
((('1.2.11.2',), {}), True)
((('1.2.11.3',), {}), True)
((('1.2.11.4',), {}), True)
((('1.2.11.5',), {}), True)
((('1.2.11.6',), {}), True)
((('1.2.11.7',), {}), True)
((('1.2.11.8',), {}), True)
((('1.2.11.9',), {}), True)
((('1.2.11.10',), {}), True)
((('1.2.12.1',), {}), True)
((('1.2.12.2',), {}), True)
((('2.2.1.1',), {}), True)
((('2.2.1.2',), {}), True)
((('2.2.2.2',), {}), True)
